"'Calanus finmarchicus'"	"'Centropages typicus'"	"'Temora longicornis'"	"'Metridia lucens'"	"'Centropages hamatus'"	"'Paraeuchaeta norvegica'"	"'Harpacticoida '"	"'Oithona '"	"'Metridia'"	"'Calanus'"	"'Acartia '"	"'Clausocalanus'"	"'Paracalanus'"	"'Paracalanus or Pseudocalanus '"	"'Pseudocalanus'"
1172	0	0	0	0	0	0	1507	0	9040	0	0	0	3013	0
5356	0	0	0	0	100	0	0	0	25613	0	0	0	3013	0
5356	0	0	0	0	201	0	3013	0	112997	1507	0	0	25613	3013
1172	0	0	0	0	201	0	1507	0	25613	0	0	0	0	0
569	0	4520	201	0	0	0	0	0	1507	0	0	0	0	0
201	0	3013	0	0	0	0	0	0	0	0	0	0	1507	4520
569	0	1507	0	0	0	0	4520	0	9040	0	0	0	9040	0
33	0	0	0	0	0	0	1507	0	3013	0	0	0	3013	0
67	0	0	0	0	0	0	3013	0	9040	0	0	0	0	1507
1172	0	0	0	0	0	0	0	0	0	0	0	0	3013	0
0	0	0	0	0	0	0	1507	0	0	0	0	0	0	0
33	0	0	0	0	0	1507	9040	0	1507	0	0	0	1507	0
1172	0	0	0	0	0	0	3013	0	0	0	0	0	0	0
1172	0	0	0	0	0	0	9040	0	9040	0	0	0	9040	0
33	0	9040	201	0	0	0	3013	0	25613	0	0	0	9040	1507
201	0	9040	100	0	0	0	1507	0	3013	0	0	0	0	0
100	0	0	569	0	0	0	0	0	0	0	0	0	3013	0
1172	1507	0	569	0	0	0	0	0	25613	0	0	0	9040	1507
1172	0	1507	201	0	0	0	0	0	25613	1507	0	0	0	0
201	52732	0	33	0	0	0	1507	0	1507	0	0	0	0	0
201	9040	1507	33	0	0	0	0	0	4520	0	0	0	0	0
201	9040	0	0	0	0	0	3013	0	9040	0	0	0	0	0
201	9040	0	33	0	0	0	3013	0	1507	0	0	0	4520	0
10713	9040	0	0	0	0	0	0	0	1507	0	0	0	3013	0
10713	9040	9040	0	0	0	0	0	0	4520	9040	0	0	3013	0
67	9040	0	0	0	0	0	3013	0	0	0	0	0	0	0
0	9040	9040	0	0	0	0	9040	0	1507	0	0	0	9040	0
0	52732	9040	33	0	0	0	9040	0	1507	0	0	0	0	0
33	9040	4520	0	0	0	0	1507	0	3013	1507	0	0	4520	4520
0	9040	3013	0	0	0	0	9040	0	1507	0	0	0	9040	3013
0	9040	0	0	0	0	0	9040	0	1507	0	0	0	4520	0
0	25613	0	0	0	0	0	0	0	1507	1507	0	0	4520	0
0	25613	0	0	0	0	0	9040	0	0	0	0	0	4520	0
0	112997	0	0	0	0	0	3013	0	3013	0	0	0	3013	0
33	9040	0	0	0	0	0	3013	0	3013	0	0	0	0	0
201	0	0	0	0	0	0	0	0	0	0	0	0	1507	1507
